ts,open,high,low,close,volume,symbol,category,source
2025-08-15 08:00:00,118956.45,119144.5,118878.71,118878.72,251.38068,BTC/USDT,CRYPTO,binance
2025-08-15 09:00:00,118878.72,119058.94,118600.0,118707.99,299.88114,BTC/USDT,CRYPTO,binance
2025-08-15 10:00:00,118708.0,119026.53,118708.0,118879.83,283.78706,BTC/USDT,CRYPTO,binance
2025-08-15 11:00:00,118879.82,119121.31,118879.82,119006.01,294.77719,BTC/USDT,CRYPTO,binance
2025-08-15 12:00:00,119006.01,119130.77,118510.0,118648.66,647.85118,BTC/USDT,CRYPTO,binance
2025-08-15 13:00:00,118648.66,118738.0,117743.21,117770.48,1302.10489,BTC/USDT,CRYPTO,binance
2025-08-15 14:00:00,117770.47,118274.0,117260.0,117400.0,1176.80402,BTC/USDT,CRYPTO,binance
2025-08-15 15:00:00,117400.0,117588.68,116827.29,117275.22,2002.13351,BTC/USDT,CRYPTO,binance
2025-08-15 16:00:00,117275.23,117418.49,116803.99,117353.36,756.28175,BTC/USDT,CRYPTO,binance
2025-08-15 17:00:00,117353.36,117882.35,117000.0,117586.92,862.91559,BTC/USDT,CRYPTO,binance
2025-08-15 18:00:00,117586.92,117662.41,117028.98,117159.66,333.40859,BTC/USDT,CRYPTO,binance
2025-08-15 19:00:00,117159.65,117412.82,116866.0,116936.27,440.85496,BTC/USDT,CRYPTO,binance
2025-08-15 20:00:00,116936.28,117323.47,116862.5,117280.0,248.37175,BTC/USDT,CRYPTO,binance
2025-08-15 21:00:00,117280.01,117350.0,117000.0,117320.02,268.99006,BTC/USDT,CRYPTO,binance
2025-08-15 22:00:00,117320.01,117738.57,117302.65,117702.0,374.66043,BTC/USDT,CRYPTO,binance
2025-08-15 23:00:00,117701.99,117761.88,117036.53,117342.05,462.67467,BTC/USDT,CRYPTO,binance
2025-08-16 00:00:00,117342.04,117781.99,117231.14,117735.21,546.22017,BTC/USDT,CRYPTO,binance
2025-08-16 01:00:00,117735.2,117898.99,117626.31,117821.6,349.62497,BTC/USDT,CRYPTO,binance
2025-08-16 02:00:00,117821.61,117821.61,117440.74,117505.51,307.50607,BTC/USDT,CRYPTO,binance
2025-08-16 03:00:00,117505.52,117657.97,117389.56,117429.63,217.17429,BTC/USDT,CRYPTO,binance
2025-08-16 04:00:00,117429.63,117884.0,117419.44,117815.66,222.51215,BTC/USDT,CRYPTO,binance
2025-08-16 05:00:00,117815.66,117852.25,117522.7,117595.78,201.54892,BTC/USDT,CRYPTO,binance
2025-08-16 06:00:00,117595.78,117635.42,117278.0,117394.65,260.53589,BTC/USDT,CRYPTO,binance
2025-08-16 07:00:00,117394.64,117674.77,117344.69,117596.07,240.659,BTC/USDT,CRYPTO,binance
2025-08-16 08:00:00,117596.07,117677.06,117501.16,117631.09,185.0877,BTC/USDT,CRYPTO,binance
2025-08-16 09:00:00,117631.09,117703.92,117306.0,117312.0,303.36694,BTC/USDT,CRYPTO,binance
2025-08-16 10:00:00,117312.0,117447.05,117143.98,117388.0,524.83945,BTC/USDT,CRYPTO,binance
2025-08-16 11:00:00,117387.99,117540.0,117350.12,117378.52,192.74721,BTC/USDT,CRYPTO,binance
2025-08-16 12:00:00,117378.52,117747.36,117327.63,117747.36,348.10374,BTC/USDT,CRYPTO,binance
2025-08-16 13:00:00,117747.35,117799.99,117582.29,117623.52,365.37584,BTC/USDT,CRYPTO,binance
2025-08-16 14:00:00,117623.53,117771.4,117550.0,117771.39,253.05868,BTC/USDT,CRYPTO,binance
2025-08-16 15:00:00,117771.4,117825.0,117621.1,117676.7,224.96201,BTC/USDT,CRYPTO,binance
2025-08-16 16:00:00,117676.7,117817.65,117676.7,117747.65,389.81984,BTC/USDT,CRYPTO,binance
2025-08-16 17:00:00,117747.64,117747.65,117651.72,117693.0,181.46105,BTC/USDT,CRYPTO,binance
2025-08-16 18:00:00,117692.99,117757.06,117629.94,117685.79,112.36973,BTC/USDT,CRYPTO,binance
2025-08-16 19:00:00,117685.78,117771.4,117652.92,117672.12,133.77621,BTC/USDT,CRYPTO,binance
2025-08-16 20:00:00,117672.13,117713.51,117522.01,117655.41,155.93762,BTC/USDT,CRYPTO,binance
2025-08-16 21:00:00,117655.41,117655.42,117433.33,117452.21,152.99321,BTC/USDT,CRYPTO,binance
2025-08-16 22:00:00,117452.21,117552.0,117219.34,117460.56,325.20777,BTC/USDT,CRYPTO,binance
2025-08-16 23:00:00,117460.57,117475.07,117278.23,117380.66,198.79271,BTC/USDT,CRYPTO,binance
2025-08-17 00:00:00,117380.66,117419.45,117255.18,117255.19,159.66726,BTC/USDT,CRYPTO,binance
2025-08-17 01:00:00,117255.18,117491.44,117172.21,117439.97,244.13312,BTC/USDT,CRYPTO,binance
2025-08-17 02:00:00,117439.97,117624.55,117381.39,117606.0,157.36164,BTC/USDT,CRYPTO,binance
2025-08-17 03:00:00,117606.0,117771.37,117505.93,117684.95,209.36889,BTC/USDT,CRYPTO,binance
2025-08-17 04:00:00,117684.96,118187.28,117684.95,118076.11,372.88806,BTC/USDT,CRYPTO,binance
2025-08-17 05:00:00,118076.12,118230.82,118000.0,118000.01,296.61443,BTC/USDT,CRYPTO,binance
2025-08-17 06:00:00,118000.0,118118.0,117905.37,117923.99,232.28871,BTC/USDT,CRYPTO,binance
2025-08-17 07:00:00,117924.0,118030.15,117843.74,118005.98,207.89215,BTC/USDT,CRYPTO,binance
2025-08-17 08:00:00,118005.98,118399.99,117922.0,118366.06,337.81576,BTC/USDT,CRYPTO,binance
2025-08-17 09:00:00,118366.05,118484.0,118235.0,118345.99,330.30362,BTC/USDT,CRYPTO,binance
2025-08-17 10:00:00,118345.99,118393.35,118190.0,118393.34,170.26339,BTC/USDT,CRYPTO,binance
2025-08-17 11:00:00,118393.34,118393.35,118270.8,118308.01,169.29272,BTC/USDT,CRYPTO,binance
2025-08-17 12:00:00,118308.0,118356.62,118134.51,118162.6,183.56593,BTC/USDT,CRYPTO,binance
2025-08-17 13:00:00,118162.61,118575.0,118059.12,118429.99,396.26094,BTC/USDT,CRYPTO,binance
2025-08-17 14:00:00,118429.99,118473.66,118150.0,118150.01,189.61777,BTC/USDT,CRYPTO,binance
2025-08-17 15:00:00,118150.01,118263.9,118137.25,118246.16,204.82807,BTC/USDT,CRYPTO,binance
2025-08-17 16:00:00,118246.15,118316.01,117700.7,117834.56,488.38516,BTC/USDT,CRYPTO,binance
2025-08-17 17:00:00,117834.55,117934.82,117645.04,117900.0,212.98829,BTC/USDT,CRYPTO,binance
2025-08-17 18:00:00,117900.01,117947.98,117321.53,117542.01,360.32583,BTC/USDT,CRYPTO,binance
2025-08-17 19:00:00,117542.01,117749.12,117468.0,117570.07,264.4763,BTC/USDT,CRYPTO,binance
